id,activityId,type,rank_type,ranklow,rankHigh,reward,season_reward,mailId
int,int,int,int,int,int,int,string,int
9001,1,1,1,1,1,0,8300041,21009
9002,1,1,1,2,2,0,8300042,21009
9003,1,1,1,3,3,0,8300043,21009
9004,1,1,1,4,10,0,8300044,21009
9005,1,1,1,11,20,0,8300045,21009
9006,1,1,1,21,50,0,8300046,21009
9007,1,1,1,51,100,0,8300047,21009
9008,1,1,1,101,200,0,8300048,21009
9010,1,1,3,1,1,0,0,21010
9011,1,1,3,2,2,0,0,21010
9012,1,1,3,3,3,0,0,21010
9013,1,1,3,4,4,0,0,21010
9014,1,1,3,5,5,0,0,21010
9015,1,1,3,6,6,0,0,21010
9016,1,1,3,7,7,0,0,21010
9017,1,1,3,8,8,0,0,21010
9019,2,2,1,1,1,0,7320001,21006
9020,2,2,1,2,2,0,7320002,21006
9021,2,2,1,3,3,0,7320003,21006
9022,2,2,1,4,10,0,7320004,21006
9023,2,2,1,11,20,0,7320005,21006
9024,2,2,1,21,50,0,7320006,21006
9025,2,2,1,51,100,0,7320007,21006
9028,2,2,2,1,1,0,7321001,21007
9029,2,2,2,2,2,0,7321002,21007
9030,2,2,2,3,3,0,7321003,21007
9031,2,2,2,4,5,0,7321004,21007
9032,2,2,2,6,10,0,7321005,21007
9033,2,2,2,11,20,0,7321006,21007
9034,2,2,3,1,1,0,7322001,21008
9035,2,2,3,2,2,0,7322002,21008
9036,2,2,3,3,3,0,7322003,21008
9037,2,2,3,4,4,0,7322004,21008
9038,2,2,3,5,5,0,7322005,21008
9039,2,2,3,6,6,0,7322006,21008
9040,2,2,3,7,7,0,7322007,21008
9041,2,2,3,8,8,0,7322008,21008
